id,name,category
32855069,Црква Св. Димитриј,place_of_worship
34094478,Св. Климент и Пантелејмон,place_of_worship
38575706,Јени Џамија,place_of_worship
38581757,Исак Џамија,place_of_worship
38582552,Св. Димитриј Солунски,place_of_worship
38765140,Католичка црква Пресвето срце Исусово,place_of_worship
44026574,Султан Муратова џамија,place_of_worship
44038732,Иса-бегова џамија,place_of_worship
44038943,Алаџа-џамија,place_of_worship
44039295,Јаја-пашина џамија,place_of_worship
123273638,Манастир Св. Пантелејмон,place_of_worship
155870490,Св. Богородица,place_of_worship
166531109,Татар Синан Бег џамија,place_of_worship
171384374,Св. Кирил и Методиј,place_of_worship
172178304,Мустафа-пашина џамија,place_of_worship
172191987,Света Богородица - Матка,place_of_worship
175162437,Св. Архангел Михаил,place_of_worship
175265123,Соборен храм Свети Климент Охридски,place_of_worship
175391004,Пресв. Богородица,place_of_worship
175671949,Св. Ѓорѓи,place_of_worship
176176613,Св. Јован Крстител,place_of_worship
176334067,Св. Георгиј,place_of_worship
177401426,Св. Спас,place_of_worship
177490047,Марков Манастир,place_of_worship
177490048,Св. Димитрија,place_of_worship
177518302,Св. Петка,place_of_worship
177683948,Евагелистичка Методистичка Црква,place_of_worship
179291828,Манастир „Свети Наум“,place_of_worship
179607964,Свети Илија,place_of_worship
181986741,Св. Архангел Михаил,place_of_worship
192121734,Џамија Ајдар Кади,place_of_worship
194610965,Св. Софија,place_of_worship
197146942,Св. Архангел Михаил,place_of_worship
197929849,Св. Спас,place_of_worship
198002840,Св. Ѓорѓија,place_of_worship
205985909,Св. Никола,place_of_worship
206265206,Св. Илија,place_of_worship
206275424,Св. Троица,place_of_worship
209067749,Св. Димитриј Солунски,place_of_worship
209557106,Св. Димитриј Солунски,place_of_worship
209649620,Св. Теодор Тирон,place_of_worship
209649621,Пресв. Богородица,place_of_worship
209650385,Св. Николај,place_of_worship
209834821,Свети Никола,place_of_worship
210097532,Преображение Христово,place_of_worship
210252893,Пресвета Богородица,place_of_worship
210253741,Св. Недела,place_of_worship
216591495,Св. Константин и Елена,place_of_worship
217452210,Св. Петка,place_of_worship
219775049,Света Богородица,place_of_worship
219789600,Свети Атанасиј,place_of_worship
219827428,Остречка Џамија,place_of_worship
220089578,Чарши Џамија,place_of_worship
220246861,Св. Јован Крстител,place_of_worship
223427542,Св. Петар и Павле,place_of_worship
223539604,Св. Злата Мегленска,place_of_worship
223556985,Husein Shah,place_of_worship
223869150,Св. Спас,place_of_worship
223970616,Св. Јован Крстител,place_of_worship
224099193,Црвка Свети Никола,place_of_worship
224113828,Успение на Пресвета Богородица,place_of_worship
227295208,Камена,place_of_worship
230351059,Св. Атанас,place_of_worship
233274330,Св. Јован Канео,place_of_worship
235728306,"Пештерна Црква ""Св. Богородица"" - Калишта",place_of_worship
236587123,Св. Преображение,place_of_worship
240622276,Св. Никола,place_of_worship
241085465,Шарена Џамија,place_of_worship
241887626,ana,place_of_worship
243348040,"Xhamia ""Rexhep Ismaili""",place_of_worship
246171790,"Црква ""Пресвета Богородица""",place_of_worship
247817665,Св.Спас,place_of_worship
248662336,Црква „Св. Григориј Палама и Димитриј“,place_of_worship
265053393,Саат Џамија;Bey Mahala,place_of_worship
266824490,"Црква ""Свети Ѓорѓија""",place_of_worship
267077609,"Црква ""Свети Ѓорѓија""",place_of_worship
267214771,Xhamia e Kadrit,place_of_worship
268394494,"Црква ""Свети Никола""",place_of_worship
268599233,"Црква ""Св. Јован Крстител""",place_of_worship
268599844,"Црква ""Св. Никола""",place_of_worship
268599845,"Црква ""Св. Богородица""",place_of_worship
269914945,Црква Св. Атанасиј,place_of_worship
270207216,Црква Свети Никола - Геракомија,place_of_worship
271750851,Св. Спас,place_of_worship
277527235,Св. Атанасиј,place_of_worship
288270474,Xhamia e Loke,place_of_worship
288270528,Xhamia në dalje të Çegranit,place_of_worship
295526113,Араста-џамија,place_of_worship
299667131,Џамија во Радиовце,place_of_worship
299894872,Црква „Св. Никола“,place_of_worship
299895257,Стара џамија во Теново,place_of_worship
299895325,Нова џамија во Теново,place_of_worship
305388566,Алипашина џамија,place_of_worship
305673429,Света Богородица Болничка,place_of_worship
326502247,Света Троица,place_of_worship
326807166,Св. Атанасиј Велики,place_of_worship
332069032,Св. Константин и Елена,place_of_worship
334220751,Св. Атанасиј,place_of_worship
334220752,Св. Архангел Михаил,place_of_worship
334221236,Св. Богородица,place_of_worship
334221237,Св. Димитрија,place_of_worship
334367008,Св. Недела,place_of_worship
334368547,Св. Илија,place_of_worship
334374287,Св. Георгиј,place_of_worship
334375611,Св. Никола,place_of_worship
334627272,Св. Петар и Павле,place_of_worship
334627273,Св. Никола,place_of_worship
334883424,Св. Петка,place_of_worship
337651480,Св. Илија,place_of_worship
337651482,Св. Недела,place_of_worship
337656895,Св. Илија,place_of_worship
337660003,Успение на Пресвета Богородица,place_of_worship
337770518,Св. Атанасиј,place_of_worship
337787674,Св. Троица,place_of_worship
355764175,Еврејска заедница во Република Македонија,place_of_worship
356219819,Св. Георгиј,place_of_worship
356304968,Св. Јован Крстител,place_of_worship
359584986,Црква Св. Кирил и Методиј и Св. Бенедикт,place_of_worship
359803976,Св. Константин и Елена,place_of_worship
365667200,Св. Јован Крстител,place_of_worship
372379950,Пресвета Богородица,place_of_worship
374361514,Тулбе,place_of_worship
393237748,Турбе на Иса-бег,place_of_worship
404975011,Црква Св. Атанасиј,place_of_worship
404975016,Kınalı Camii,place_of_worship
405710098,Св. Спас,place_of_worship
406222434,Покров на Пресвета Богородица,place_of_worship
407196924,Рождество на Пресвета Богородица,place_of_worship
407209454,Св. Атанасиј,place_of_worship
407549889,Св.Талалеј,place_of_worship
410925001,Св. Јован Крстител,place_of_worship
412310913,Св. Меркуриј,place_of_worship
412315742,Св. Димитриј,place_of_worship
412395714,Св. Никола,place_of_worship
412643816,Св. Никола,place_of_worship
412800549,Св. Георгиј,place_of_worship
412941981,Св. Богородица,place_of_worship
412979463,Св. Троица,place_of_worship
413914395,Св. Пантелејмон,place_of_worship
416992718,Св. Димитриј,place_of_worship
416992727,Св. Богородица,place_of_worship
416992742,Св. Спас,place_of_worship
425934461,Св. Недела,place_of_worship
428709970,Св. Константин и Елена,place_of_worship
428710862,Протестантска црква,place_of_worship
428977431,Света Петка,place_of_worship
429475632,Св. Димитрија,place_of_worship
431359728,Рождество на Пресвета Богородица,place_of_worship
433012845,Св. Димитриј Солунски,place_of_worship
435145527,Св. Атанасиј,place_of_worship
435146555,Св. Георгиј,place_of_worship
439088377,Св.Никола,place_of_worship
442439951,Св. Георгиј,place_of_worship
442442835,Св. Никола,place_of_worship
442934201,Мурат-пашина џамија,place_of_worship
442988984,Св. Никола,place_of_worship
443063644,Св. Арханѓел,place_of_worship
444881587,Кадан Ана Џамија,place_of_worship
445929014,Св. Архангел Михаил,place_of_worship
453012433,Св. Атанасиј,place_of_worship
453012435,Пресвета Богородица,place_of_worship
453048240,св. Тројица,place_of_worship
466723143,Xhamia e Cairit,place_of_worship
467457983,Xhamia e Uhudit,place_of_worship
467605857,Хаџиќазимова џамија,place_of_worship
474839770,Кебир Мехмед Челеби џамија,place_of_worship
476714056,Св. Богородица,place_of_worship
476718503,Св. Недела,place_of_worship
476718504,Св. Никола,place_of_worship
479137723,Xhamia e Vogël,place_of_worship
481086680,Св. Благовештение,place_of_worship
481402867,Sveto Prepolovenie Rusa Sreda,place_of_worship
487171786,Св. Никола,place_of_worship
488242717,св. Софија аеродром,place_of_worship
489901374,Рождество на Пресвета Богородица,place_of_worship
495221294,Xhamia e Re,place_of_worship
496314248,Св. Георгиј,place_of_worship
512243737,Св. Никола,place_of_worship
517915859,Пресвета Богородица Перивлепта,place_of_worship
533569466,Евангелска Конгрешанска Црква,place_of_worship
534081682,"Xhamia ""Mehmet Kukliu""",place_of_worship
552666312,Рождество на Пресвета Богородица,place_of_worship
554249801,Св. Илија,place_of_worship
555704741,Успение на Пресвета Богородица,place_of_worship
556794420,Св. Јован Крстител,place_of_worship
561537018,Св. Кузман и Дамјан,place_of_worship
578228529,Св. Павле,place_of_worship
579719151,Св. Никола,place_of_worship
581914094,Св. Димитриј,place_of_worship
581996078,Св. Георгиј,place_of_worship
585471780,Св. Никола,place_of_worship
617132672,Манастир Св. Недела,place_of_worship
620649950,Св. Архангел Миахил,place_of_worship
623448985,Ајдар-пашина џамија,place_of_worship
625505134,Света Богородица Пандонос,place_of_worship
626882189,Црква Свети 40 Севастиски Маченици,place_of_worship
626884064,Св. Никола Чудотворец,place_of_worship
626885547,Св. Богородица Каменска,place_of_worship
664905985,Св. Петка,place_of_worship
669910506,Св. Пантелејмон,place_of_worship
670179174,Св. Кирил и Методиј,place_of_worship
671131831,Црна Џамија,place_of_worship
671215482,Успение на Пресвета Богородица,place_of_worship
677972632,Св.Илија,place_of_worship
677972633,Џамија Хусамедин Паша,place_of_worship
692090840,Св. Никола,place_of_worship
692925887,Света Великомаченичка Недела,place_of_worship
707017723,En-Nur Mosque,place_of_worship
710683841,SV Petka,place_of_worship
715124995,Манастир Св. Петка с. Бродец,place_of_worship
715175611,Храм Св. Троица,place_of_worship
722996635,Кешанли џамија,place_of_worship
770882635,Sv. Bogorodica,place_of_worship
800147950,Св. Никола,place_of_worship
800541179,Св. Георгиј,place_of_worship
801945534,Св. Архангел Михаил,place_of_worship
802140928,Св. Илија,place_of_worship
802269646,Св. Недела,place_of_worship
802697348,Св. Петар и Павле,place_of_worship
803098569,Св. Георгиј,place_of_worship
804717203,Св. Преображение,place_of_worship
804760176,Св. Илија,place_of_worship
804828232,Св. Георгиј,place_of_worship
805969118,Св. Никола,place_of_worship
808424072,Св. Недела,place_of_worship
810265144,Св. Петка,place_of_worship
810284122,Св. Атанасиј Велики,place_of_worship
815079621,Св. Спас,place_of_worship
816263407,Св. Атанасиј,place_of_worship
816588422,Св. Преображение,place_of_worship
816779407,Св. Троица,place_of_worship
818900504,Манастир Свети Ѓорѓи - Кнежино,place_of_worship
818907913,Свети Димитрија,place_of_worship
818911597,Св. Архангел Михаил,place_of_worship
820126629,Св. Никола,place_of_worship
820259296,Св. Петка,place_of_worship
821320763,Св. Атанасиј,place_of_worship
821330536,Рождество на Пресвета Богородица,place_of_worship
821781059,Св. Никола,place_of_worship
824662518,Св. Богородица - Пречиста Кичевска,place_of_worship
825419100,Св. Георгиј,place_of_worship
827813532,Св. Константин и Св. Елена,place_of_worship
832499572,Свети Архангел Михаил,place_of_worship
834714769,Gorno Orizari Mosque,place_of_worship
834714770,Laka Mosque,place_of_worship
834714772,Taftalidzhe Mosque,place_of_worship
834714781,Halit Efendi Mosque,place_of_worship
837627775,Св. Јован,place_of_worship
837627786,Балаклија,place_of_worship
837629389,Св. Никола,place_of_worship
837634197,Св. Петар,place_of_worship
837636511,Св. Атанасиј,place_of_worship
837638201,Успение на Пресвета Богородица,place_of_worship
839361758,Црква „Свети Никола“,place_of_worship
839862837,Света Лидија Македонска,place_of_worship
844112184,Sveta Bogorodica,place_of_worship
846009790,Св. Тодор,place_of_worship
846935349,Св. Илија,place_of_worship
848609722,Св. Архангел Михаил,place_of_worship
849430895,Св. Ана,place_of_worship
849430896,Св. Петка,place_of_worship
849430897,Св. Атанасиј Велики,place_of_worship
849430898,Св. Илија,place_of_worship
849440102,Св. Георгиј,place_of_worship
849458420,Св. Атанасиј Велики,place_of_worship
850141271,Св. Петка,place_of_worship
850141272,Св. Илија,place_of_worship
850141273,Св. Димитриј Солунски,place_of_worship
851312559,Џамија Дуди Ханум,place_of_worship
853112086,Св. Атанасиј,place_of_worship
853541376,Св. Димитриј Солунски,place_of_worship
858590368,Св. Илија,place_of_worship
858653355,Св. Наум Охридски,place_of_worship
875859708,Св. Преображение,place_of_worship
875859711,Св. Петар и Св. Павле,place_of_worship
878683351,Св. Атанасиј,place_of_worship
878684024,Св. Димитриј Солунски,place_of_worship
878685767,Успение на Пресвета Богородица,place_of_worship
878685768,Св. Игнатиј Богоносец,place_of_worship
878691159,Св. Наум Охридски,place_of_worship
