id,name,category
299665984,Црква „Св. Атанасиј“,church
327369842,Црква Св. Константин и Елена,church
356302520,Св. Великомаченик Георгиј,church
375120196,Св. Атанасиј,church
547594794,Новоапостолска црква,church
577834275,Свети Ѓорги,church
603605133,Sv.Petka,church
685820502,St. Dimitri's Church,church
692208999,Св. Кирил и Методиј,church
781153480,Св. Анастасие,church
840074824,Св. Атанасиј,church
840074827,Католичка Црква Св.Кирил и Методиј,church
986726774,Ајат,church
1106159705,Црква „Христос Спасител“,church
1112336213,Православна црква „Света Троица“,church
